Attribute,Days Before,Days After,Accuracy,Precision,Recall,F1 Score
aggressiveness,7,7,0.7211055276381909,0.6992125984251969,0.757679180887372,0.7272727272727272
aggressiveness,7,14,0.5226093402520385,0.0,0.0,0.0
aggressiveness,7,21,0.5233644859813084,0.0,0.0,0.0
aggressiveness,7,28,0.5322245322245323,0.0,0.0,0.0
aggressiveness,14,7,0.6800286327845383,0.6408839779005525,0.7127496159754224,0.6749090909090909
aggressiveness,14,14,0.5316901408450704,0.0,0.0,0.0
aggressiveness,14,21,0.4933847850055127,0.0,0.0,0.0
aggressiveness,14,28,0.5061037639877924,0.0,0.0,0.0
aggressiveness,21,7,0.5197010869565217,0.0,0.0,0.0
aggressiveness,21,14,0.5240931239848403,0.0,0.0,0.0
aggressiveness,21,21,0.5183016105417276,0.0,0.0,0.0
aggressiveness,21,28,0.5389408099688473,0.0,0.0,0.0
aggressiveness,28,7,0.5237467018469657,0.0,0.0,0.0
aggressiveness,28,14,0.5245737211634904,0.0,0.0,0.0
aggressiveness,28,21,0.5159857904085258,0.0,0.0,0.0
aggressiveness,28,28,0.5163901254552813,0.0,0.0,0.0
sentiment,7,7,0.41118229470005824,0.0,0.0,0.0
sentiment,7,14,0.38782877772047447,0.0,0.0,0.0
sentiment,7,21,0.40808279940857567,0.0,0.0,0.0
sentiment,7,28,0.4042253521126761,0.0,0.0,0.0
sentiment,14,7,0.39480137322216774,0.0,0.0,0.0
sentiment,14,14,0.4170751633986928,0.0,0.0,0.0
sentiment,14,21,0.41478743068391866,0.0,0.0,0.0
sentiment,14,28,0.4207955338450802,0.0,0.0,0.0
sentiment,21,7,0.4191142191142191,0.0,0.0,0.0
sentiment,21,14,0.4185788304959289,0.0,0.0,0.0
sentiment,21,21,0.4358218729535036,0.0,0.0,0.0
sentiment,21,28,0.44806763285024154,0.0,0.0,0.0
sentiment,28,7,0.41429840142095914,0.0,0.0,0.0
sentiment,28,14,0.44005544005544006,0.0,0.0,0.0
sentiment,28,21,0.42977697408077153,0.0,0.0,0.0
sentiment,28,28,0.45082195597659513,0.0,0.0,0.0
stance,7,7,0.7010372178157414,0.6962025316455697,0.6875,0.6918238993710691
stance,7,14,0.4799583550234253,0.0,0.0,0.0
stance,7,21,0.4652641878669276,0.0,0.0,0.0
stance,7,28,0.4473558837541686,0.0,0.0,0.0
stance,14,7,0.501675442795596,0.0,0.0,0.0
stance,14,14,0.487720644666155,0.0,0.0,0.0
stance,14,21,0.4764434998228835,0.0,0.0,0.0
stance,14,28,0.4393684917702385,0.0,0.0,0.0
stance,21,7,0.5085817524841915,0.0,0.0,0.0
stance,21,14,0.5180385288966725,0.0,0.0,0.0
stance,21,21,0.47368421052631576,0.0,0.0,0.0
stance,21,28,0.45336863783465725,0.0,0.0,0.0
stance,28,7,0.5272958104104951,0.0,0.0,0.0
stance,28,14,0.48264781491002573,0.0,0.0,0.0
stance,28,21,0.4786156443444007,0.0,0.0,0.0
stance,28,28,0.46436004162330907,0.0,0.0,0.0
